birth_place,latitude,longitude,province,region
Almería,44.4194958,8.9234821,Genova,Liguria
Alpignano,45.0957237,7.5254027,Torino,Piemonte
Avellino,40.9965446,15.140569,Avellino,Campania
Bologna,44.4938203,11.3426327,Bologna,Emilia-Romagna
Brescia,45.7795804,10.425873,Brescia,Lombardia
Buenos Aires,44.8037407,10.1430038,,
Cagliari,39.2171994,9.113311,Cagliari,Sardegna
Desenzano del Garda,45.4694851,10.5389467,Brescia,Lombardia
Firenze,43.7697955,11.2556404,Firenze,Toscana
Fiumicino,41.7712145,12.2278855,Roma,Lazio
Gallarate,45.6598951,8.7932013,Varese,Lombardia
Genova,44.40726,8.9338624,Genova,Liguria
Grottaglie,40.5361927,17.4342206,Taranto,Puglia
Grugliasco,45.068046,7.57762,Torino,Piemonte
La Spezia,44.238366,9.6912326,La Spezia,Liguria
Lodi,45.2613104,9.4916781,Lodi,Lombardia
Milano,45.4641943,9.1896346,Milano,Lombardia
Napoli,40.8358846,14.2487679,Napoli,Campania
Nicosia,37.747452,14.397271,Enna,Sicilia
Nocera Inferiore,40.7472133,14.6433202,Salerno,Campania
Olbia,40.9232659,9.5027442,Gallura,Sardegna
Padova,45.391408,11.8058487,Padova,Veneto
Pieve Emanuele,45.3559126,9.2020722,Milano,Lombardia
Reggio Calabria,38.1035389,15.6397556,Reggio Calabria,Calabria
Rho,45.528878,9.04156,Milano,Lombardia
Roma,41.8933203,12.4829321,Roma,Lazio
Salerno,40.4194416,15.3106085,Salerno,Campania
San Benedetto del Tronto,42.9525328,13.8807144,Ascoli Piceno,Marche
San Siro,45.4782003,9.123964,Milano,Lombardia
Scafati,40.7499887,14.5269491,Salerno,Campania
Scampia,40.8999881,14.2410519,Napoli,Campania
Senigallia,43.7149517,13.2179488,Ancona,
Sesto San Giovanni,45.5357218,9.2376549,Milano,Lombardia
Singapore,45.0806268,7.6707168,,
Sternatia,40.222125,18.225226,Lecce,Puglia
Torino,45.0677551,7.6824892,Torino,Piemonte
Treviso,45.8066913,12.2063158,Treviso,Veneto
Verona,45.4424977,10.9857377,Verona,Veneto
Vicenza,45.6348591,11.4063543,Vicenza,Veneto
Vimercate,45.6139627,9.37006,Monza e della Brianza,Lombardia
