,title,full_title,name,album,album_name
4321,100%,"100% by Bassi Maestro (Ft. Amir Issaa, Mr. Phil & Supa)",bassi maestro,V.E.L.M. (Vivi E Lascia Morire),L'Ultimo Testimone
2480,100%,100% by Mistaman & DJ Shocca,mistaman,La scatola nera,Anni senza fine
9502,1312,1312 by Dani Faiv (Ft. Disme & Vaz Tè),dani faiv,Teoria Del Contrario Mixtape Vol. 2,Teoria Del Contrario Mixtape Vol. 2
6199,1312,1312 by Willie Peyote,willie peyote,"Non è il mio genere, il genere umano","Non è il mio genere, il genere umano"
4671,2020 Freestyle,2020 Freestyle by Madame,madame,,Rockstar: Do zachodu słońca
3775,2020 Freestyle,2020 Freestyle by Tedua,tedua,,2020 Freestyle
1087,24/7,24/7 by Guè,guè pequeno,Rimo Da Quando,V.Ita
8216,24/7,24/7 by MadMan,madman,"MM, Vol. 3",MM Vol. 3
4757,24/7,24/7 by Vacca (Ft. Locker),vacca,Bad Reputation,Bad Reputation
2812,24H,24H by Johnny Marsiglia,johnny marsiglia,Memory,Memory
359,24H,24H by Lazza,lazza,Re Mida: Aurum,Re Mida
8999,4L,4L by Dark Polo Gang (Ft. MamboLosco),dark polo gang,Dark Boys Club,DARK BOYS CLUB
1191,4L,4L by Roshelle,roshelle,SENTIMENTAL SEASON EP,SENTIMENTAL SEASON
3110,6 AM,6 AM by Sfera Ebbasta,sfera ebbasta,Famoso,Famoso
10007,6 AM,6 AM by Shiva,shiva,Milano Angels,Milano Angels
9348,64 Bars,64 Bars by ANNA,anna pepe,,sneakz
9506,64 Bars,64 Bars by Dani Faiv,dani faiv,,MACHETE MIXTAPE 4
6894,64 Bars,64 Bars by Frah Quintale,frah quintale,Lungolinea.,Lungolinea.
3196,64 Bars,64 Bars by Ghemon,ghemon,,"Red Bull 64 Bars, The Album"
2819,64 Bars,64 Bars by Johnny Marsiglia,johnny marsiglia,,62 Bars
4640,64 Bars,64 Bars by Madame,madame,,"Red Bull 64 Bars, The Album"
9966,64 Bars,64 Bars by Nitro,nitro,,"Red Bull 64 Bars, The Album"
5778,666,666 by Emis Killa & Jake La Furia,emis killa,17 (Dark Edition),17
7920,666,666 by Jack The Smoker,jack the smoker,Jack Uccide,Jack uccide
7814,666,"666 by Noyz Narcos (Ft. Duke Montana, Miss Violetta Beauregarde & Mystic One)",noyz narcos,Verano Zombie,Verano Zombie
9323,ABC,ABC by ANNA (Ft. thasup & Tony Boy),anna pepe,VERA BADDIE,SANTANA MONEY GANG
9281,ABC,ABC by Grido (Ft. Inoki),grido,,ABC
33,ABC,ABC by Rosa Chemical,rosa chemical,,BV3
4751,ABC,ABC by Vacca,vacca,L’ultimo tango,L'ultimo tango
1689,ATM,ATM by Clementino,clementino,Black Pulcinella,Black Pulcinella
310,ATM,ATM by Yung Snapp (Ft. MV Killa),yung snapp,HOTEL MONTANA (Deluxe),HOTEL MONTANA
4532,Abracadabra,Abracadabra by Ensi,ensi,Era Tutto Un Sogno,Era Tutto Un Sogno
3063,Abracadabra,Abracadabra by Sfera Ebbasta (Ft. Future),sfera ebbasta,Famoso,Famoso
7189,Adesso,Adesso by Gemitaiz,gemitaiz,Eclissi,Eclissi
7652,Adesso,Adesso by Tony Boy,tony boy,,Vincere Adesso
6424,Africa,Africa by Entics,entics,Entics Television,V
1526,Africa,Africa by Mahmood,mahmood,,V
1289,Air Force,Air Force by Capo Plaza (Ft. Leto),capo plaza,Hustle Mixtape,Hustle Mixtape
7818,Air Force,Air Force by Noyz Narcos & DJ Gengis,noyz narcos,The Best Out Mixtape Vol. 2,Monster
7082,Alaska,Alaska by Gemitaiz (Ft. Priestess),gemitaiz,Davide,Davide
788,Alaska,Alaska by Niky Savage,niky savage,,Alaska
10229,Alice,Alice by Caneda,caneda,L’angelo da un’ala sola - Atto 2,ALICE
9814,Alice,Alice by Priestess,priestess,Brava,Brava
8587,Alice,Alice by Rkomi,rkomi,Dove Gli Occhi Non Arrivano,Dove Gli Occhi Non Arrivano
1428,Alice,Alice by Skioffi,skioffi,ALICE EP,Alice
1663,Alleluia,Alleluia by Clementino (Ft. Gemitaiz),clementino,Tarantelle,Tarantelle
10000,Alleluia,Alleluia by Shiva (Ft. Sfera Ebbasta),shiva,Milano Demons,Milano Demons
6780,Allora ciao,Allora ciao by Nesli,nesli,Kill Karma - La mente è un’arma,Kill Karma (La Mente E' Un' Arma...)
5669,Allora ciao,Allora ciao by Shade,shade,,Allora ciao
